"image_url","permalink","post_title","post_date","notes","username","caption"
"http://40.media.tumblr.com/55bba8dd2d035614714ffba374cba563/tumblr_nnt7e5VfW81re12ono1_1280.jpg","http://patternbase.tumblr.com/post/118821090550/cactuslands-tessa-houghton","cactuslands-tessa-houghton","","1,537 notes","","cactuslands:
tessa-houghton"
"http://40.media.tumblr.com/18f9d9d19b349afa317c480733c21ba0/tumblr_nnhq0o9pxg1s2zjzco1_1280.jpg","http://patternbase.tumblr.com/post/118813913692","118813913692","","281 notes","",""
"http://36.media.tumblr.com/f772f181ff78c0a792237da20afc0ef8/tumblr_nlpntndsAM1s0got1o1_1280.jpg","http://patternbase.tumblr.com/post/118806170115/aubreylstallard-louise-hopkins","aubreylstallard-louise-hopkins","","448 notes","","aubreylstallard:
Louise Hopkins"
"http://40.media.tumblr.com/2828b6c4224661df463761147d8c477c/tumblr_nj73rzQ2iI1qdhmvlo1_1280.jpg","http://patternbase.tumblr.com/post/118798544649/aubreylstallard-roy-lichtenstein-1973","aubreylstallard-roy-lichtenstein-1973","","93 notes","","aubreylstallard:
Roy Lichtenstein, 1973"
"http://40.media.tumblr.com/a06579aa3904cdfbfaadcdca690a6f46/tumblr_n4e861qMJm1rtynt1o7_1280.jpg","http://patternbase.tumblr.com/post/118791988108/aubreylstallard-shout-of-to-the-book-of-kells","aubreylstallard-shout-of-to-the-book-of-kells","","2,595 notes","","aubreylstallard:
shout of to the Book of Kells"
"http://40.media.tumblr.com/2634abe162132ee8149d2545cf659bc9/tumblr_n4e861qMJm1rtynt1o8_1280.jpg","http://patternbase.tumblr.com/post/118791988108/aubreylstallard-shout-of-to-the-book-of-kells","aubreylstallard-shout-of-to-the-book-of-kells","","2,595 notes","","aubreylstallard:
shout of to the Book of Kells"
"http://40.media.tumblr.com/550a47121ad3f184bcaa2a8f00667581/tumblr_n4e861qMJm1rtynt1o4_1280.jpg","http://patternbase.tumblr.com/post/118791988108/aubreylstallard-shout-of-to-the-book-of-kells","aubreylstallard-shout-of-to-the-book-of-kells","","2,595 notes","","aubreylstallard:
shout of to the Book of Kells"
"http://41.media.tumblr.com/c0874e7058892ec56934c3c5c1066d24/tumblr_n4e861qMJm1rtynt1o3_1280.jpg","http://patternbase.tumblr.com/post/118791988108/aubreylstallard-shout-of-to-the-book-of-kells","aubreylstallard-shout-of-to-the-book-of-kells","","2,595 notes","","aubreylstallard:
shout of to the Book of Kells"
"http://40.media.tumblr.com/e13a5a21205f718ebf6793ffaba3c565/tumblr_n4e861qMJm1rtynt1o2_1280.jpg","http://patternbase.tumblr.com/post/118791988108/aubreylstallard-shout-of-to-the-book-of-kells","aubreylstallard-shout-of-to-the-book-of-kells","","2,595 notes","","aubreylstallard:
shout of to the Book of Kells"
"http://41.media.tumblr.com/f1e6ac134c1c695fa093255feb25f2c6/tumblr_n4e861qMJm1rtynt1o1_1280.jpg","http://patternbase.tumblr.com/post/118791988108/aubreylstallard-shout-of-to-the-book-of-kells","aubreylstallard-shout-of-to-the-book-of-kells","","2,595 notes","","aubreylstallard:
shout of to the Book of Kells"
"http://41.media.tumblr.com/5db55b0684fd484fa2ded08c968e3ba5/tumblr_n4e861qMJm1rtynt1o6_1280.jpg","http://patternbase.tumblr.com/post/118791988108/aubreylstallard-shout-of-to-the-book-of-kells","aubreylstallard-shout-of-to-the-book-of-kells","","2,595 notes","","aubreylstallard:
shout of to the Book of Kells"
"http://40.media.tumblr.com/6905d4215ec3b1163e3428806871d2c1/tumblr_n4e861qMJm1rtynt1o5_1280.jpg","http://patternbase.tumblr.com/post/118791988108/aubreylstallard-shout-of-to-the-book-of-kells","aubreylstallard-shout-of-to-the-book-of-kells","","2,595 notes","","aubreylstallard:
shout of to the Book of Kells"
